name,ID,study,latitude,longitude,region,strato,rockType,texture,location,dummy,Ferrous,MgN,Mg-Fe,Fe-Mg,Fe_Mg,Al-CaNaK,alkali,Ti-Na,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,MnO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,age,xSiO2,xTiO2,xAl2O3,xFe2O3,xFeO,xMgO,xMnO,xCaO,xNa2O,xK2O,xP2O5,xCr2O3,xNiO,Total,xFe2O3*,xFeO*,xH2O,Mg,K,Ca,Sc,Ti,V,Cr,Mn,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,87Sr/86Sr,SrI,87Rb/86Sr,143Nd/144Nd,eNd,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
1002-1-1,1,mine,34.297345,133.875526,C-NE_shikoku,1,felsic,clastic,Higashioku,1,0,3.413233551,?,28.29773146,31.44192385,1.108534551,6.422818419,0.036308355,70.93288179,0.191275157,16.41946213,0,2.819875157,0.050335568,0,3.060402507,4.087248085,2.335570334,0.099897051,0.002937691,0.000114528,13.5,70.93355876,0.191276982,16.41961884,0,2.81990207,0.050336048,0,3.060431715,4.087287093,2.335592625,0.099898004,0.002937719,0.000114529,100.0009544,3.133922345,2.81990207,?,869.877767,15190.50253,21893.93974,10.26010088,91.54243354,12.75089497,30.00298845,102.1419777,7.022402363,10.28316704,71.66872725,92.2,211.7,3.22,126.1355405,7.029239377,3.82,307.4,21.2,44.6,4.66,16.8,2.64,0.803,2.07,0.182,0.704,0.105,0.293,0.0338,0.215,0.029,3.557123119,0.743564793,20.5,6.93,1.47,0.705631,?,?,0.512561,-1.502034574,?,?,?
1002-11-3,2,mine,34.292909,133.877267,C-NE_shikoku,1,felsic,clastic,Higashioku,1,0,10.90987004,?,8.166012024,9.073346693,1.0713564,6.715792512,0.035435525,71.01850046,0.191018051,16.29685578,0,2.437953244,0.150803724,0.010053582,3.076395971,4.182289948,2.533502565,0.099897373,0.002703848,2.54507E-05,?,71.01911209,0.191019696,16.29699614,0,2.437974241,0.150805023,0.010053668,3.076422466,4.182325967,2.533524384,0.099898234,0.002703871,2.54509E-05,100.0008612,2.709463577,2.437974241,?,1146.055173,15350.38555,22008.28497,7.994761732,71.44434903,9.73189723,28.03091079,142.5751105,27.73819353,5.949832257,77.0321072,105.4,218.8,3.37,101.5560114,5.897372012,3.94,321.9,21.1,43.8,4.67,16.9,2.7,0.813,2.1,0.187,0.714,0.108,0.286,0.0348,0.205,0.0277,2.940616066,0.671236084,19.4,7.04,1.49,?,?,?,?,?,?,?,?
1004-1-4BREC,3,mine,34.316517,133.948912,C-NE_shikoku,1,felsic,clastic,Higashioku,1,0,4.545802375,?,20.99831663,23.33146293,1.099272588,6.733826171,0.034062744,72.046877,0.182268979,16.32319968,0,1.683790358,0.040504218,0.010126054,2.875799447,4.151682301,2.58214387,0.099896392,0.003609899,0.0001018,13.4,72.04955126,0.182275745,16.32380557,0,1.683852857,0.040505721,0.01012643,2.875906192,4.151836405,2.582239715,0.0999001,0.003610033,0.000101804,100.0037118,1.871364311,1.683852857,?,839.111193,18225.10749,20573.43598,9.535950499,81.8405697,10.58909604,42.69054239,130.9992947,13.58053439,7.477744336,47.49603707,109.3,207.9,3.48,114.2056419,6.384732349,6.98,317.5,21.2,45.4,4.6,16.7,2.67,0.781,2.16,0.192,0.733,0.112,0.287,0.0335,0.21,0.0282,3.378029727,0.773417731,23,8.01,1.65,?,?,?,?,?,?,?,?
1004-1-4MAT,4,mine,34.316517,133.948912,C-NE_shikoku,1,felsic,clastic,Higashioku,1,?,3.540096739,?,27.24781563,30.2753507,1.099984868,6.836172738,0.032092066,72.64450821,0.172938894,16.31729326,0,1.097510625,0.020345752,0.010172876,2.797540927,4.181052076,2.655120661,0.099896483,0.003492983,0.00012725,?,72.64713821,0.172945155,16.31788401,0,1.097550359,0.020346489,0.010173244,2.797642208,4.181203445,2.655216786,0.0999001,0.003493109,0.000127255,100.0036204,1.219772003,1.097550359,?,760.5549651,19547.36233,20013.55712,8.634088825,72.90696819,10.8404772,35.10217905,126.6976596,11.17349307,4.805438089,39.50296493,114.4,204.4,3.39,92.76752479,6.566825814,8.09,312.7,21.4,46.6,4.67,17,2.72,0.799,2.16,0.189,0.709,0.107,0.293,0.0343,0.213,0.0307,2.744622529,0.634670506,22,7.85,1.97,?,?,?,?,?,?,?,?
1004-1-6,5,mine,34.316517,133.948912,C-NE_shikoku,1,felsic,clastic,Higashioku,1,?,16.36473351,?,5.110701403,5.678557114,1.276344962,6.105435063,0.024020735,73.55014106,0.101757251,15.91483406,0,1.853197346,0.183163052,0.010175725,2.208132348,3.286759209,2.818675854,0.069948785,0.003215311,0,?,73.552506,0.101760523,15.91534579,0,1.853256934,0.183168941,0.010176052,2.208203348,3.286864892,2.818766486,0.069951034,0.003215414,0,100.0032154,2.059632985,1.853256934,?,1430.569051,16573.71547,15792.14052,8.427345645,41.89336986,8.749764503,34.21480841,145.5561826,15.97092382,11.61565961,95.67200954,162.9,176.5,1.3,52.95389342,6.62980327,12.1,307.2,18.9,40,4.01,14.4,2.26,0.669,1.63,0.112,0.305,0.0375,0.105,0.0107,0.0679,0.00967,2.066550468,0.716492761,22.4,8.33,2.15,?,?,?,?,?,?,?,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029-1-14,25,mine,34.199181,133.66537,W-NE_shikoku,1.5,felsic,clastic,Ishido,1,?,31.09712398,?,2.215731463,2.461923848,1.155925874,6.323100374,0.046510119,70.32646979,0.2265606,17.72321782,0,1.445546606,0.32954269,0.020596418,3.501391086,3.779442732,2.543657642,0.099896425,0.003449136,0.00022905,13,70.32905662,0.226568933,17.72386974,0,1.445599778,0.329554812,0.020597176,3.501519879,3.779581752,2.543751206,0.0999001,0.003449263,0.000229058,100.0036783,1.606579709,1.445599778,?,1995.953925,16321.98772,25048.90293,8.046313775,90.10374837,17.05186972,193.2731572,198.4385148,6.528549146,4.148227001,61.47273151,97.9,267.3,5.4,68.64523092,6.021996992,8.54,271.9,15,30.1,3.13,11.3,2.01,0.68,1.76,0.192,0.927,0.173,0.513,0.0763,0.515,0.0752,2.251488656,0.621216992,18.4,5.9,2.27,?,?,?,?,?,?,?,?
1029-1-27,26,mine,34.195856,133.671599,W-NE_shikoku,1.5,intermediate,clastic,Ishido,1,?,39.92345284,?,1.504793371,1.671992634,1.000052681,5.522233877,0.117111146,62.34714329,0.571617555,19.22064028,0,4.500485908,1.510703538,0.051037282,6.114266345,3.7869663,1.735267577,0.159741005,0.001914592,0.000216328,?,62.34847189,0.571629736,19.22104986,0,4.500581812,1.51073573,0.051038369,6.114396637,3.787046999,1.735304555,0.159744409,0.001914633,0.000216333,100.002131,5.001760188,4.500581812,?,10933.61881,12404.13682,43766.91742,15.0864291,370.5488128,56.17338017,9.380795206,448.5690166,4.956275469,6.062157641,59.09910335,67.8,266.1,20.62373887,131.4093451,5.615195372,1.40414277,270.1,18.29772507,26.50627973,3.840412361,17.15301868,3.693522827,1.198628597,3.827778377,0.570721101,3.793558766,0.783418161,2.258564519,0.336657333,2.347486055,0.370968893,3.673711009,0.541740063,11.01260073,6.165557254,1.386308013,?,?,?,?,?,?,?,?
1029-25,27,mine,34.196915,133.671221,W-NE_shikoku,1.5,felsic,clastic,Ishido,1,?,27.30655576,?,2.662124248,2.957915832,1.086828442,6.472439003,0.054612177,68.43021867,0.296057935,17.9880718,0,2.25974592,0.428773562,0.040835577,3.950842104,4.206064462,2.26637454,0.12982708,0.002908396,0.000279951,?,68.43240053,0.296067375,17.98864534,0,2.259817971,0.428787233,0.040836879,3.950968075,4.206198571,2.266446803,0.129831219,0.002908488,0.00027996,100.0031884,2.511468079,2.259817971,?,3330.023613,16473.0939,28272.60155,10.98263233,152.1041569,22.79933607,13.13441822,350.0463955,9.966389769,7.176120287,74.70349228,88.4,285.2,7.62,87.47177304,6.558423333,6.73,282.2,16.3,32.8,3.66,13.5,2.5,0.79,2.23,0.268,1.36,0.258,0.772,0.11,0.751,0.113,2.817800729,0.80044975,17.5,6.24,1.85,?,?,?,?,?,?,?,?
1030-31-2,28,mine,34.159476,133.654092,W-NE_shikoku,1.5,felsic,clastic,Ishido,1,?,19.34375832,?,4.169626209,4.63291801,1.211233808,6.520390167,0.03410443,71.36546534,0.164034973,16.95711531,0,1.946456574,0.235800273,0.051260929,2.665568307,3.73179563,2.788594537,0.089915483,0.003814498,0.000178149,12.65,71.36831482,0.164041522,16.95779237,0,1.946534292,0.235809688,0.051262976,2.665674738,3.731944634,2.78870588,0.089919073,0.003814651,0.000178156,100.0039928,2.163297576,1.946534292,?,1832.181488,17821.50974,19067.59336,9.64091926,74.48937045,11.26027728,29.11222758,385.5357816,12.47890138,13.63994566,72.10023424,96.2,238.5,4.23,93.59174256,7.413485988,7.08,342.1,19.6,38.9,3.72,12.6,1.9,0.606,1.71,0.166,0.75,0.127,0.369,0.053,0.371,0.0569,2.75473045,0.725308181,19.3,8.3,2.01,?,?,?,?,?,?,?,?
1030-32,29,mine,34.159457,133.653986,W-NE_shikoku,1.5,felsic,clastic,Ishido,1,?,17.74310543,?,4.635991984,5.151102204,1.112318937,6.769524087,0.032691117,71.9058033,0.152925996,16.12859504,0,1.871397398,0.203901328,0.040780266,2.824033392,3.629443637,3.14008045,0.099896961,0.003142238,0,?,71.90806282,0.152930801,16.12910185,0,1.871456204,0.203907735,0.040781547,2.824122132,3.629557687,3.140179122,0.0999001,0.003142337,0,100.0031423,2.079858899,1.871456204,?,1511.831174,21092.15577,20202.98716,7.847643516,59.51253887,10.18105065,14.83383648,287.9156656,5.244785167,7.384961453,64.08525799,104.8,250,4.47,76.53883536,6.450833966,7.6,335.6,19.9,38.1,3.91,13.5,2.1,0.624,1.83,0.182,0.807,0.136,0.388,0.0545,0.372,0.0577,2.34630741,0.701005684,18.8,7.89,2.07,?,?,?,?,?,?,?,?
